what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_23",1389998377069
java.vm.info,sysinfo,,,"mixed mode",1389998377069
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1389998377069
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1389998377069
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1389998377069
java.vm.specification.version,sysinfo,,,"1.0",1389998377069
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1389998377069
java.vm.version,sysinfo,,,"19.0-b09",1389998377069
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1389998377211
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1389998377235
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1389998380975
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1389998381361
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1389998383610
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1389998383616
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1389998383617
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1389998383618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389998383674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389998386386
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389998390020
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389998390725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389998391361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389998391394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389998393183
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389998398803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389998401029
