what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385335184192
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1385335187678
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385335205560
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385335225619
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385335282276
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1385335289476
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385335292723
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385335293926
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385335296597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385335332288
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385335334056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385335335569
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385335335979
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1385335338687
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385335345051
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385335346487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385335348065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385335348467
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385335348889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385335349310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385335349914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385335415165
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1385335415185
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385335434686
