what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385930585321
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1385930605588
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1385930607869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385930608925
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385930648087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385930649547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385930653796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1385930680568
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1385930680888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385930680898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385930695079
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385930706430
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385930712406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385930901704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385930910028
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385930945953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1385930963863
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385930973850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385930976469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385931241189
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1385931251051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385931253017
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1385931263751
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385931263806
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1385931267264
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385931267533
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385931274337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385931308821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385931528608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385931540288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385931575839
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1385931646103
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1385931646323
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1385931646859
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385931653988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385931657203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1385931684113
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1385931690057
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1385931692663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385931692825
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385931693116
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1385931701465
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385931705567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385931746267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385931808393
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385931814353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385931815015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385931816845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385931851859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385932003110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385932115947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1385932149541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1385932150965
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385932151404
