what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1385934532757
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1385934537519
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1385934537646
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385934538528
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385934550070
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385934558198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385934559844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385934560195
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1385934565764
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1385934565774
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1385934565774
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1385934565775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385934565806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385934568566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385934573277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385934573647
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1385934585916
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385934588005
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385934596844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385934599122
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385934605839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385934607724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385934608000
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1385934614113
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1385934617012
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385934619163
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385934619493
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385934627700
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1385934642884
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385934652529
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385934654011
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385934657828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1385934661453
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1385934662051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1385934662673
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385934663069
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385934665408
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385934665720
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385934679010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385934680944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385934681174
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1385934684550
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385934688453
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385934689919
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385934691162
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385934691398
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1385934694605
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385934698866
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385934700476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385934701997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385934702606
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385934703156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385934703819
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1385934711779
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385934713839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385934715005
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385934715186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385934716456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385934725642
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1385934725663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385934751702
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385934753789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385934755096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385934755640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385934756292
