what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507123123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507130413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507137921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507145080
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1383507150207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507151860
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507271582
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1383507286411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507287845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507299174
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1383507302877
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1383507303546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1383507305498
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1383507306307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507307856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507310934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507312882
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507356584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507363833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507367265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1383507371074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507375073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507389519
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507396480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507397504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507402320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507403882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507412265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507421435
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1383507441060
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1383507441637
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1383507445781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1383507446365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1383507451065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507451867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507483724
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1383507485394
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1383507486984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1383507494491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507496199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507525502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507533751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507547113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507550464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507551516
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507554597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507556519
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507562947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507569176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507576011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507592274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507594523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507595706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507599702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507601166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507605600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507606559
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507613366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507629810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507635154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507636510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507637753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507644482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507655930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507659876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507660541
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383507666476
