what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383483815003
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1383483821541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1383483821716
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1383483821892
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1383483822156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1383483824497
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1383483833209
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1383483848977
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1383483858009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383483866757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383483876407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383483878259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383483886199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383483889047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383484025107
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1383484036681
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1383484038673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383484043579
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383484044106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383484046618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383484092173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383484093610
