what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1385330985005
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385330985348
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385330986683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385330988008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385330988198
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1385330994634
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385330998138
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1385330999526
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385331000082
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385331001333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385331002819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385331003020
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1385331011696
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385331015915
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385331017252
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385331018462
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385331019155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385331019465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385331020298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385331025446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385331037424
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1385331037442
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385331043106
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385331063795
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385331068996
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385331070332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385331070741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385331071366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385331115499
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1385331115517
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385331116853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385331132397
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385331186239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385331445090
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385331525655
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385331578623
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1385331851591
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385331890404
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1385331890506
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385331890514
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1385331890985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385331915115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385331930902
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1385331935060
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385331939903
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1385331939974
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385331939982
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1385331942249
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1385331943172
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385331945527
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1385331945574
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385331945582
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1385331948311
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385331949040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385331951854
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385331955143
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385331956676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385331957088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385331958084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385332015430
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1385332015445
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385332021619
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385332022918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385332024101
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385332024509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385332025110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385332191217
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1385332191232
