what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383521654354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383521655285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383521656688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383521659401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383521660060
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1383521682580
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1383521686050
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1383521686283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383521686289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383521690882
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1383521699384
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1383521700997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383521702523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383521703114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383521705520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383521766461
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1383521770953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1383521811391
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1383521815455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383521817228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383521817574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383521819090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383521911544
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1383521922206
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1383521929423
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1383521933257
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383521935007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383521935360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383521946873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383594285822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383594290539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383594293318
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383594295655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383594298595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383594302213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383594302482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383594305162
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383594306059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383594306100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383594306847
