what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376135564541
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376136936542
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1376136938461
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1376136938625
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1376136939578
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1376136966204
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1376136967249
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1376136970468
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1376136971354
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1376137000512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376137064937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376140853513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376140879279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376141009418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376141039823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376141171446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376141181475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376142145252
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376142146478
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376142225842
